EventID,pathway,Node,DecisionTable,Attribute,Value,Date
403,Path1,Initial_patient_GP_Visit,,,,1986-11-01T00:00:00
403,Path1,Initial_patient_GP_Visit,,UUID,0acb05c6-f750-42e8-8a31-41ff388e80be,1986-11-01T00:00:00
403,Path1,Initial_patient_GP_Visit,,NhsNumber,7832003812,1986-11-01T00:00:00
403,Path1,Initial_patient_GP_Visit,,randID,4.708228826098606,1986-11-01T00:00:00
403,Path1,Initial_patient_GP_Visit,,anotheTest,{'Value': UUID('1099361c-cb56-4de8-a9c3-c6355f474d3e')},1986-11-01T00:00:00
404,Path1,patient_assessment,,,,1986-11-01T00:00:00
405,Path1,test_request,,,,1986-11-01T00:28:00
405,Path1,test_request,,PatientRcorded,True,1986-11-01T00:28:00
406,Path1,Specimen_check,,,,1986-11-01T00:28:00
406,Path1,Specimen_check,,PerformingOrg,"{'Code': 'TKD13', 'DisplayName': 'Midtown District Hospital', 'AddressLine': 'Beckett Street', 'AddressCity': 'Leeds', 'AddressDistrict': 'West YorkShire', 'AddressPostalCode': 'LS9 7TF'}",1986-11-01T00:28:00
406,Path1,Specimen_check,,RequestingHCP,"{'Code': 'G6040649', 'DisplayName': 'Dr Jane Green'}",1986-11-01T00:28:00
406,Path1,Specimen_check,,OrgRequesting,"{'Code': 'D82015', 'DisplayName': 'Manor GP Practice', 'AddressLine': '30/32 Bridge Street', 'AddressCity': 'Downham Market', 'AddressDistrict': 'Norfolk', 'AddressPostalCode': 'PE38 9DH'}",1986-11-01T00:28:00
407,Path1,specimen_ready_for_test,,,,1986-11-01T00:28:00
407,Path1,specimen_ready_for_test,,Request,"{'Code': '26604007', 'DisplayName': 'FBC - Full blood count', 'text': 'FBC'}",1986-11-01T00:28:00
407,Path1,specimen_ready_for_test,,Specimen,"{'Code': '53130003', 'DisplayName': 'Venous blood (substance)'}",1986-11-01T00:28:00
407,Path1,specimen_ready_for_test,,CollectingHCP,"{'Code': 'J7040649', 'DisplayName': 'Alice Jones'}",1986-11-01T00:28:00
407,Path1,specimen_ready_for_test,,OrgCollecting,"{'Code': 'D82015', 'DisplayName': 'Manor GP Practice', 'AddressLine': '30/32 Bridge Street', 'AddressCity': 'Downham Market', 'AddressDistrict': 'Norfolk', 'AddressPostalCode': 'PE38 9DH'}",1986-11-01T00:28:00
408,Path1,lab_test,,,,1986-11-01T00:28:00
409,Path1,test_report,,,,1986-11-01T00:47:00
409,Path1,test_report,,obs,"{'code': '27113001', 'DisplayName': 'Body weight', 'value': 96, 'unit': 'kg'}",1986-11-01T00:47:00
409,Path1,test_report,,PerformingHCP,"{'Code': 'J7040649', 'DisplayName': 'Alice Jones'}",1986-11-01T00:47:00
410,Path1,send_report,,,,1986-11-01T00:47:00
411,Path1,receive_report,,,,1986-11-01T00:47:00
411,Path1,receive_report,,Report,"{'Code': '1028441000000104', 'DisplayName': 'Potassium Level (Observable entity)'}",1986-11-01T00:47:00
411,Path1,receive_report,,BundleSent,True,1986-11-01T00:47:00
412,Path1,GP_checks_report,,,,1986-11-01T00:47:00
412,Path1,GP_checks_report,,Observation,"{'Value': '4.8', 'Unit': 'mmol/L', 'ReferenceLow': '3.5', 'ReferenceHigh': '5.3'}",1986-11-01T00:47:00
413,Path1,inform_patient,,,,1986-11-01T00:47:00
414,Path1,Finish,,,,1986-11-01T06:47:00
415,Path1,Finish,,,,1986-11-01T06:47:00
