"Area","Country","PersonID","Gender","DOB","Surname","GivenName","School","GP"
"Abbey","England","0","Male","1993-02-24 00:00:00","Cameron","Spencer","Abbey School","Abbey GP"
"Abbey","England","1","Male","1993-10-25 00:00:00","Williams","Robert","Abbey School","Abbey GP"
"Abbey","England","2","Male","1985-11-23 00:00:00","Atkins","Josh","Abbey School","Abbey GP"
"Bagley","England","3","Female","1996-08-25 00:00:00","Willis","Isabelle","Bagley School","Bagely GP"
"Bagley","England","4","Female","1960-03-23 00:00:00","Fleming","Zara","Bagley School","Bagely GP"
"Bagley","England","5","Female","2007-02-08 00:00:00","Rogers","Jennifer","Bagley School","Bagely GP"
"Battlefield","England","6","Male","1958-10-23 00:00:00","O'Neill","Ethan","Battlefield School","Battlefield GP"
"Battlefield","England","7","Male","1961-09-03 00:00:00","North","Anthony","Battlefield School","Battlefield GP"
"Battlefield","England","8","Male","2008-01-06 00:00:00","Henry","Aaron","Battlefield School","Battlefield GP"
"Belle Vue","England","9","Male","1976-06-15 00:00:00","Burton","Ellis","Belle Vue School","Belle Vue GP"
"Belle Vue","England","10","Male","2005-02-15 00:00:00","Iqbal","Jacob","Belle Vue School","Belle Vue GP"
"Belle Vue","England","11","Male","1941-06-12 00:00:00","Henry","Joel","Belle Vue School","Belle Vue GP"
"Bowbrook","England","12","Female","1997-02-07 00:00:00","Godfrey","Georgina","Bowbrook School","Bowbrook GP"
"Bowbrook","England","13","Female","1970-08-18 00:00:00","Wall","Shannon","Bowbrook School","Bowbrook GP"
"Bowbrook","England","14","Female","2016-01-12 00:00:00","Carey","Tilly","Bowbrook School","Bowbrook GP"
"Castlefields and Ditherington","England","15","Female","1956-07-22 00:00:00","Sykes","Imogen","Ditherington School","Castlefields GP"
"Castlefields and Ditherington","England","16","Male","1974-04-12 00:00:00","Owens","Reece","Castlefields School","Castlefields GP"
"Castlefields and Ditherington","England","17","Female","1988-11-15 00:00:00","Bull","Eloise","Castlefields School","Castlefields GP"
"Column","England","18","Male","2013-06-14 00:00:00","Archer","Harry","Column School","Column GP"
"Column","England","19","Male","1984-07-14 00:00:00","Jennings","Aaron","Column School","Column GP"
"Column","England","20","Male","1964-07-06 00:00:00","Barton","Liam","Column School","Column GP"
"Copthorne","England","21","Female","1977-03-26 00:00:00","Fleming","Alice","Copthorne School","Copthorne GP"
"Copthorne","England","22","Male","1980-12-07 00:00:00","Bibi","Gabriel","Copthorne School","Copthorne GP"
"Copthorne","England","23","Female","1956-05-06 00:00:00","Cooke","Holly","Copthorne School","Copthorne GP"
"Harlescott","England","24","Female","1946-05-19 00:00:00","Goodwin","Danielle","Harlescott School","Harlescott GP"
"Harlescott","England","25","Male","1982-09-18 00:00:00","Bell","Jonathan","Harlescott School","Harlescott GP"
"Harlescott","England","26","Male","2017-12-30 00:00:00","Page","Spencer","Harlescott School","Harlescott GP"
"Meole","England","27","Male","1971-03-12 00:00:00","Knowles","Ewan","Meole School","Meole GP"
"Meole","England","28","Male","1971-10-27 00:00:00","Flynn","Alexander","Meole School","Meole GP"
"Meole","England","29","Male","2010-11-07 00:00:00","May","Sam","Meole School","Meole GP"
"Monkmoor","England","30","Female","1985-06-17 00:00:00","Fitzgerald","Demi","Monkmoor School","Monkmoor GP"
"Monkmoor","England","31","Male","1970-01-06 00:00:00","Byrne","Bailey","Monkmoor School","Monkmoor GP"
"Monkmoor","England","32","Female","2006-04-16 00:00:00","Clark","Elizabeth","Monkmoor School","Monkmoor GP"
"Porthill","England","33","Male","2014-05-11 00:00:00","May","Brandon","Porthill School","Porthill GP"
"Porthill","England","34","Male","2008-09-01 00:00:00","Whittaker","Jayden","Porthill School","Porthill GP"
"Porthill","England","35","Female","1983-08-14 00:00:00","Rogers","Phoebe","Porthill School","Porthill GP"
"Quarry and Coton Hill","England","36","Female","1983-08-30 00:00:00","Butcher","Hollie","Coton Hill School","Quarry GP"
"Quarry and Coton Hill","England","37","Female","2007-03-30 00:00:00","Fraser","Sofia","Coton Hill School","Quarry GP"
"Quarry and Coton Hill","England","38","Female","1986-11-01 00:00:00","Jennings","Ava","Coton Hill School","Quarry GP"
"Radbrook","England","39","Female","2014-07-11 00:00:00","Steele","Laura","Radbrook School","Radbrook GP"
"Radbrook","England","40","Male","1956-09-28 00:00:00","Lewis","Matthew","Radbrook School","Radbrook GP"
"Radbrook","England","41","Male","1975-02-19 00:00:00","Robson","Ewan","Radbrook School","Radbrook GP"
"Sundorne","England","42","Male","2017-09-22 00:00:00","Pritchard","Joshua","Sundorne School","Sundorne GP"
"Sundorne","England","43","Female","1977-07-06 00:00:00","Hutchinson","Demi","Sundorne School","Sundorne GP"
"Sundorne","England","44","Female","1959-08-08 00:00:00","Franklin","Mia","Sundorne School","Sundorne GP"
"Sutton and Reabrook","England","45","Female","1977-07-23 00:00:00","Stephens","Alice","Sutton School","Sutton GP"
"Sutton and Reabrook","England","46","Female","1962-01-28 00:00:00","Perry","Poppy","Reabrook School","Sutton GP"
"Sutton and Reabrook","England","47","Female","1959-03-18 00:00:00","Hurst","Francesca","Reabrook School","Sutton GP"
"Underdale","England","48","Female","1970-01-09 00:00:00","Iqbal","Elizabeth","Underdale School","Underdale GP"
"Underdale","England","49","Female","2014-05-14 00:00:00","Lyons","Eve","Underdale School","Underdale GP"
"Underdale","England","50","Male","1956-08-07 00:00:00","Hall","Peter","Underdale School","Underdale GP"
